iter	Passed	Remaining
0	107	107097
1	109	54622
2	111	37080
3	114	28452
4	117	23414
5	119	19831
6	121	17297
7	123	15372
8	126	13912
9	128	12696
10	129	11672
11	131	10848
12	133	10105
13	134	9486
14	145	9531
15	172	10610
16	173	10046
17	174	9541
18	176	9120
19	178	8729
20	179	8383
21	181	8062
22	182	7765
23	184	7484
24	185	7220
25	186	6981
26	187	6765
27	189	6565
28	190	6374
29	191	6197
30	192	6029
31	193	5866
32	195	5717
33	196	5579
34	197	5447
35	198	5319
36	199	5197
37	200	5082
38	201	4976
39	203	4873
40	204	4773
41	205	4684
42	206	4598
43	207	4515
44	209	4436
45	210	4357
46	211	4286
47	212	4218
48	213	4151
49	215	4090
50	216	4030
51	217	3969
52	218	3908
53	219	3850
54	220	3794
55	221	3740
56	222	3688
57	223	3637
58	225	3588
59	226	3542
60	227	3496
61	228	3451
62	229	3412
63	230	3372
64	231	3332
65	232	3292
66	233	3255
67	234	3211
68	235	3174
69	236	3140
70	237	3109
71	239	3080
72	240	3053
73	241	3023
74	242	2993
75	243	2963
76	244	2933
77	245	2905
78	247	2881
79	248	2855
80	249	2830
81	250	2808
82	252	2785
83	253	2764
84	254	2737
85	255	2713
86	256	2687
87	257	2664
88	258	2642
89	259	2620
90	260	2599
91	261	2578
92	262	2557
93	263	2538
94	264	2518
95	265	2498
96	266	2479
97	267	2462
98	268	2444
99	269	2428
100	270	2411
101	271	2390
102	272	2373
103	273	2357
104	274	2341
105	275	2325
106	276	2309
107	277	2294
108	278	2278
109	279	2263
110	281	2251
111	282	2240
112	284	2231
113	285	2220
114	287	2209
115	288	2194
116	289	2181
117	290	2168
118	290	2154
119	292	2141
120	293	2129
121	294	2116
122	294	2101
123	295	2089
124	296	2078
125	298	2067
126	299	2055
127	299	2042
128	300	2031
129	301	2020
130	302	2009
131	303	1998
132	304	1987
133	305	1976
134	306	1966
135	308	1957
136	309	1948
137	310	1937
138	311	1928
139	312	1918
140	313	1909
141	314	1900
142	315	1892
143	317	1884
144	318	1876
145	319	1868
146	320	1860
147	321	1851
148	322	1843
149	323	1834
150	324	1826
151	325	1818
152	326	1810
153	328	1801
154	328	1793
155	329	1785
156	331	1777
157	332	1769
158	333	1761
159	334	1753
160	335	1746
161	336	1739
162	337	1732
163	338	1724
164	339	1717
165	340	1710
166	341	1702
167	342	1696
168	343	1689
169	344	1682
170	345	1675
171	346	1668
172	347	1661
173	348	1654
174	349	1648
175	351	1644
176	392	1824
177	394	1821
178	396	1816
179	397	1810
180	398	1802
181	399	1797
182	401	1791
183	402	1784
184	403	1777
185	404	1770
186	405	1762
187	406	1756
188	407	1749
189	408	1742
190	409	1735
191	410	1729
192	411	1722
193	413	1716
194	414	1711
195	415	1705
196	416	1698
197	417	1692
198	419	1687
199	420	1680
200	421	1674
201	422	1668
202	423	1661
203	424	1655
204	425	1649
205	426	1644
206	427	1638
207	428	1633
208	429	1627
209	430	1621
210	432	1615
211	433	1610
212	434	1604
213	435	1598
214	436	1592
215	437	1586
216	438	1581
217	439	1575
218	440	1570
219	441	1565
220	442	1559
221	443	1554
222	444	1549
223	445	1543
224	446	1538
225	447	1533
226	448	1528
227	449	1522
228	450	1517
229	451	1512
230	452	1507
231	454	1503
232	455	1498
233	456	1493
234	457	1488
235	458	1483
236	459	1479
237	460	1474
238	461	1469
239	462	1464
240	463	1459
241	464	1454
242	465	1450
243	466	1446
244	468	1442
245	469	1437
246	470	1433
247	471	1428
248	472	1424
249	473	1420
250	474	1415
251	475	1411
252	476	1406
253	477	1402
254	478	1398
255	479	1394
256	480	1389
257	481	1385
258	482	1381
